"Bankrupt","Year","AR_by_OpIncome","FB_Plus_OpInc_ByFB","PercentMedicaidDays","PercentMedicareDays","CurrentRatio","Debt2Equity","DaysSalesOutstanding","LaborCompRatio","OpProfitMargin","DaysCashOnHand","BedUtil","AdjPxDays","Alt1Ohls3","AltmanX2","AltmanX3","AltmanX4","OhlsonX1","OhlsonX2","OhlsonX4","OhlsonX6","OhlsonX7","OhlsonX9","OhlsonX5","OhlsonX8","Govt","Urban","ForProfit","HC1","HC2","HC4","HC5","AR_by_OpIncome.y.1.","FB_Plus_OpInc_ByFB.y.1.","PercentMedicaidDays.y.1.","PercentMedicareDays.y.1.","CurrentRatio.y.1.","Debt2Equity.y.1.","DaysSalesOutstanding.y.1.","LaborCompRatio.y.1.","OpProfitMargin.y.1.","DaysCashOnHand.y.1.","BedUtil.y.1.","AdjPxDays.y.1.","Alt1Ohls3.y.1.","AltmanX2.y.1.","AltmanX3.y.1.","AltmanX4.y.1.","OhlsonX1.y.1.","OhlsonX2.y.1.","OhlsonX4.y.1.","OhlsonX6.y.1.","OhlsonX7.y.1.","OhlsonX9.y.1.","OhlsonX5.y.1.","OhlsonX8.y.1.","HC4_5.y.1.","AR_by_OpIncome.y.2.","FB_Plus_OpInc_ByFB.y.2.","PercentMedicaidDays.y.2.","PercentMedicareDays.y.2.","CurrentRatio.y.2.","Debt2Equity.y.2.","DaysSalesOutstanding.y.2.","LaborCompRatio.y.2.","OpProfitMargin.y.2.","DaysCashOnHand.y.2.","BedUtil.y.2.","AdjPxDays.y.2.","Alt1Ohls3.y.2.","AltmanX2.y.2.","AltmanX3.y.2.","AltmanX4.y.2.","OhlsonX1.y.2.","OhlsonX2.y.2.","OhlsonX4.y.2.","OhlsonX6.y.2.","OhlsonX7.y.2.","OhlsonX9.y.2.","OhlsonX5.y.2.","OhlsonX8.y.2.","D_AR_by_OpIncome","D_FB_Plus_OpInc_ByFB","D_CurrentRatio","D_Debt2Equity","D_LiabFundBalRatio","D_DaysSalesOutstanding","D_LaborCompRatio","D_OpProfitMargin","D_DaysCashOnHand","D_BedUtil","D_AdjPxDays","D_Alt1Ohls3","D_AltmanX2","D_AltmanX3","D_AltmanX4","D_OhlsonX1","D_OhlsonX2","D_OhlsonX4","D_OhlsonX6","D_OhlsonX7","D_OhlsonX9","NegLiab.y.1.","NegLiab.y.2."
1,2015,0.017,1.62,0.03,0.23,0.45,-0.78,-213.12,6.34,-10.46,1.54,0.07,0.320383,-0.84,-0.22,-1.39,-0.06,9.74,3.41,2.22,-1.47,-0.41,-2560661,1,1,0,0,1,0,0,0,0,1.483,1.49,0.03,0.23,-0.18,-0.55,-195.91,1.04,-1.01,11.26,0.11,0.549525,-9.49,0.54,-5.75,0.03,7.77,16.68,-5.46,-7.39,-0.34,888134,1,1,0,0.129,1.5,0.03,0.23,0.26,-0.7,36.56,0.85,-0.61,3.38,0.23,0.820226,-1.47,-1.52,-1.17,-0.36,9.38,4.23,3.89,-1.45,-0.28,-12568551,1,1,-0.98853675,0.087248322,-3.5,0.418181818,0.339622642,0.08784646,5.096153846,9.356435644,-0.863232682,-0.363636364,-0.416981939,-0.911485774,-1.407407407,-0.75826087,-3,0.253539254,-0.795563549,-1.406593407,-0.801082544,0.205882353,-3.883192176,0,0
1,2014,3.304,0.72,0.22,0.3,0.98,1.98,48.8,0.5,-0.04,2.52,0.4,3.268594,-0.01,0.05,0.03,0.06,11.07,0.81,1.02,0.03,0.04,2222744,0,0,0,1,0,0,0,1,0,0.173,-0.04,0.22,0.3,0.86,2.61,46.32,0.59,-0.11,1.13,0.41,3.106545,-0.06,-0.07,-0.05,-0.08,10.96,0.85,1.17,-0.07,-0.06,-2772787,0,1,1,2.273,0.6,0.22,0.3,0.81,1.6,49.41,0.58,-0.06,6.97,0.43,2.946332,-0.08,0.05,0.02,0.07,10.99,0.79,1.24,0,0.03,2163159,0,0,18.0982659,-19,0.139534884,-0.24137931,-0.211469534,0.053540587,-0.152542373,-0.636363636,1.230088496,-0.024390244,0.052163738,-0.833333333,-1.714285714,-1.6,-1.75,0.010036496,-0.047058824,-0.128205128,-1.428571429,-1.666666667,-1.801628109,0,0
1,2019,0.103,2.79,0.06,0.3,0.41,-0.23,41.95,0.43,-0.11,8.33,0.61,5.032925,-0.67,-0.42,-0.16,-0.36,10.65,1.16,2.45,-0.28,-0.14,-12387512,1,1,0,0,0,1,0,0,0,0.075,-1.02,0.06,0.3,0.66,0.2,50.67,0.43,-0.18,12.53,0.61,5.548293,-0.26,-0.79,-0.3,-0.99,10.9,0.8,1.53,-0.39,-0.37,-29671292,1,1,0,3.543,1,0.06,0.3,1.2,0.06,48.51,0.39,0,0,0.58,5.219291,0.08,0.02,0.07,0.05,11.45,0.43,0.83,0.05,0.17,1401453,0,0,0.373333333,-3.735294118,-0.378787879,-2.15,-2.87371134,-0.172093941,0,-0.388888889,-0.335195531,0,-0.092887668,1.576923077,-0.46835443,-0.466666667,-0.636363636,-0.02293578,0.45,0.60130719,-0.282051282,-0.621621622,-0.582508507,0,0
1,2018,6.385,1.02,0.01,0.14,-1.42,0,70.31,0.33,0.01,-14.77,0.27,6.101041,0.61,0.03,0.12,166007400,11.34,-0.25,-0.7,0.03,679549600,1660074,0,0,0,0,1,1,0,0,0,4.765,1.04,0.01,0.14,-13.24,0,75.99,0.32,0.03,-5.73,0.29,6.172228,0.41,0.05,0.14,341371700,11.51,-0.03,-0.08,0.05,957658000,3413717,0,0,0,4.911,1.03,0.01,0.14,3.13,0,72.03,0.34,0.02,-4.85,0.28,5.870375,0.22,0.12,0.11,1.1,11.6,0.11,0.32,0.04,1.07,8867717,0,0,0.339979014,-0.019230769,-0.892749245,0,5.666666667,-0.074746677,0.03125,-0.666666667,1.577661431,-0.068965517,-0.011533437,0.487804878,-0.4,-0.142857143,-0.513704856,-0.014769765,7.333333333,7.75,-0.4,-0.290404717,-0.513704856,1,0
1,2010,0.034,1.4,0.04,0.21,0.4,-0.8,34.56,0.61,-0.28,9.19,0.64,7.869629,-0.88,-0.55,-0.78,-0.17,10.88,3.32,2.5,-0.12,-0.23,-20242379,1,1,0,0,1,0,1,0,0,0.036,1.66,0.04,0.21,0.47,-0.81,47.84,0.66,-0.36,9.47,0.73,8.969349,-0.69,0.17,-0.85,0.07,11.01,2.55,2.14,-0.46,-0.33,7173200,1,1,0,0.048,1.5,0.04,0.21,0.71,-1.1,43.5,0.59,-0.25,17.3,0.81,9.409693,-0.25,-0.7,-0.59,-0.29,11.19,2.43,1.42,-0.18,-0.24,-35337126,1,1,-0.055555556,-0.156626506,-0.14893617,-0.012345679,-0.133333333,-0.277591973,-0.075757576,-0.222222222,-0.029567054,-0.123287671,-0.122608675,0.275362319,-4.235294118,-0.082352941,-3.428571429,-0.011807448,0.301960784,0.168224299,-0.739130435,-0.303030303,-3.821945436,0,0
1,2018,0.085,0.62,0.03,0.27,1.98,0.55,52.96,0.73,-0.22,78.85,0.27,4.781488,0.2,-0.03,-0.14,-0.07,11.98,0.49,0.51,-0.01,-0.29,-3572993,0,1,0,0,0,0,0,0,0,0.149,0.82,0.03,0.27,2.34,0.49,44.26,0.67,-0.1,89.01,0.28,4.853282,0.24,0.04,-0.05,0.08,11.96,0.45,0.43,0.03,-0.12,3915190,0,0,0,0.115,0.76,0.03,0.27,2.14,0.56,47.45,0.7,-0.14,88.41,0.32,5.288008,0.21,0.02,-0.06,0.04,11.95,0.48,0.47,0,-0.13,1989644,0,1,-0.429530201,-0.243902439,-0.153846154,0.12244898,0.172839506,0.196565748,0.089552239,1.2,-0.114144478,-0.035714286,-0.014792876,-0.166666667,-1.75,1.8,-1.875,0.001672241,0.088888889,0.186046512,-1.333333333,1.416666667,-1.912597601,0,0
1,2018,2.89,0.85,0.17,0.19,1.64,0.6,53.2,0.53,-0.1,10.24,0.26,4.978889,0.08,0,-0.02,0,12.02,0.45,0.61,-0.03,-0.05,-71950,0,1,0,0,0,0,1,0,0,0.193,0.65,0.17,0.19,2.78,0.79,59.51,0.63,-0.25,31.5,0.31,5.561352,0.15,-0.05,-0.11,-0.09,12.1,0.49,0.36,-0.07,-0.23,-5650423,0,1,0,1.543,0.79,0.17,0.19,3.64,0.82,69.7,0.58,-0.15,47.02,0.35,6.479234,0.2,-0.03,-0.05,-0.06,12.19,0.49,0.27,-0.03,-0.09,-3912153,0,1,13.97409326,0.307692308,-0.410071942,-0.240506329,-0.15625,-0.1060326,-0.158730159,-0.6,-0.674920635,-0.161290323,-0.104734065,-0.466666667,-1,-0.818181818,-1,-0.00661157,-0.081632653,0.694444444,-0.571428571,-0.782608696,-0.98726644,0,0
1,2017,2.341,0.92,0.18,0.26,-13.1,0.07,70.01,0.33,-0.06,-1.02,0.1,1.150563,0.3,-0.07,0,-1.56,10.26,0.04,-0.08,-0.07,0.01,-1357431,1,1,0,0,1,0,0,1,0,1.466,0.86,0.18,0.26,-9.04,0.07,63.62,0.29,-0.1,-3.94,0.1,1.1875,0.29,3.72,-0.08,95.32,10.32,0.04,-0.11,-0.13,-2.09,78468261,1,1,1,0.119,1.1,0.18,0.26,0.08,-0.03,70.1,0.28,-0.21,-7.85,0.1,1.191784,-3.05,-0.22,-0.18,-0.06,10.47,3.38,12.23,-0.22,-0.05,-5343296,1,1,0.59686221,0.069767442,0.449115044,0,0.25,0.100440113,0.137931034,-0.4,-0.741116751,0,-0.031104842,0.034482759,-1.018817204,-1,-1.016365925,-0.005813953,0,-0.272727273,-0.461538462,-1.004784689,-1.017299109,0,0
1,2016,0.146,0.51,0.12,0.2,2.34,0.32,116.71,0.58,-0.22,13.19,0.1,0.59576,0.41,0.19,-0.32,0.62,8.45,0.31,0.43,-0.09,-1.05,613742,1,1,1,1,0,0,0,0,0,0.007,0.35,0.12,0.2,1.35,0.32,5.64,0.61,-0.23,57.98,0.07,0.5124,0.12,-0.8,-0.41,-2.42,8.17,0.33,0.74,-0.03,-1.23,-1970825,1,1,0,1.521,0.84,0.12,0.2,7.18,0.32,123.18,0.56,-0.12,76.86,0.1,0.559176,0.61,0.22,-0.13,2.28,8.66,0.1,0.14,0.22,-1.32,901801,1,0,19.85714286,0.457142857,0.733333333,0,-0.102040816,19.69326241,-0.049180328,-0.043478261,-0.772507761,0.428571429,0.162685402,2.416666667,-1.2375,-0.219512195,-1.256198347,0.034271726,-0.060606061,-0.418918919,2,-0.146341463,-1.311413748,0,0
1,2009,0.181,1.47,0.06,0.25,0.41,-0.88,44.15,0.49,-0.24,1.71,0.52,7.655179,-0.66,-0.18,-0.28,-0.09,11.49,2.02,2.43,-0.09,-0.14,-12351926,1,1,0,0,1,0,0,0,0,0.042,1.71,0.06,0.25,0.4,-0.99,48.09,0.57,-0.31,5.67,0.57,8.004863,-0.6,-0.22,-0.53,-0.12,11.52,1.81,2.49,-0.22,-0.29,-15576631,1,1,0,0.046,2.11,0.06,0.25,0.47,-1.37,57.88,0.55,-0.34,1.88,0.56,7.807614,-0.41,-0.33,-0.53,-0.21,11.53,1.58,2.12,-0.34,-0.33,-23705000,1,1,3.30952381,-0.140350877,0.025,-0.111111111,-0.112107623,-0.081929715,-0.140350877,-0.225806452,-0.698412698,-0.087719298,-0.043683946,0.1,-0.181818182,-0.471698113,-0.25,-0.002604167,0.116022099,-0.024096386,-0.590909091,-0.517241379,-0.207021981,0,0
